model,sim_time,arrival_mean,service_mean,num_nurses,replications,total_arrived,total_served,average_wait,average_system_time,utilization,max_queue_length,average_wait_red,average_wait_yellow,average_wait_green
fifo,1000,5,4,1,3,195.0,189.0,12.909689721159873,17.341787093075258,0.8352860951459625,11.666666666666666,,,
priority,1000,5,4,1,3,195.0,190.33333333333334,13.835548052062256,18.236207200997708,0.8351317813993043,12.666666666666666,3.378981900045814,5.852814420256199,20.337263027654785
fifo,1000,5,4,2,3,195.0,194.33333333333334,0.7356776044053968,5.1214638444613385,0.4249123155473972,3.6666666666666665,,,
priority,1000,5,4,2,3,195.0,194.33333333333334,0.7827958864977228,5.168582126553665,0.4249123155473972,3.6666666666666665,0.1832110359121296,0.5403402554053666,0.9896391848484374
fifo,1000,5,4,3,3,195.0,194.66666666666666,0.08695768723672427,4.466680316007926,0.28330535333288503,2.0,,,
priority,1000,5,4,3,3,195.0,194.66666666666666,0.0958164518125157,4.475539080583717,0.28330535333288503,2.0,0.0779881689957244,0.06034636725421972,0.11616921569007448
