model,sim_time,arrival_mean,service_mean,num_nurses,seed,total_arrived,total_served,average_wait,average_system_time,utilization,max_queue_length,average_wait_red,average_wait_yellow,average_wait_green,scenario_group,scenario_name
fifo,1000,5,4,2,2015,198,197,0.7251626235816677,4.75636093587681,0.3970730337610715,4,,,,nurse_count_comparison,fifo_nurses_2_fixed_load
fifo,1000,5,4,2,2016,210,209,0.765695554076673,4.763286251077461,0.41774822783658233,6,,,,nurse_count_comparison,fifo_nurses_2_fixed_load
fifo,1000,5,4,2,2017,192,191,0.32914587184584626,4.0025337110017745,0.35080853863939127,3,,,,nurse_count_comparison,fifo_nurses_2_fixed_load
fifo,1000,5,4,2,2018,166,165,0.2387700421256864,4.069861096609442,0.3160650119949097,2,,,,nurse_count_comparison,fifo_nurses_2_fixed_load
fifo,1000,5,4,2,2019,198,197,0.6373294141211653,4.904088688908091,0.42027578856651215,4,,,,nurse_count_comparison,fifo_nurses_2_fixed_load
fifo,1000,5,4,3,3000,174,173,0.0293675230550932,4.358635533252968,0.2496544552547441,1,,,,nurse_count_comparison,fifo_nurses_3_fixed_load
fifo,1000,5,4,3,3001,204,203,0.11192661473839802,4.290580598940043,0.2827555862643112,2,,,,nurse_count_comparison,fifo_nurses_3_fixed_load
fifo,1000,5,4,3,3002,232,231,0.17523173303236272,4.134876987140097,0.3048926845662954,3,,,,nurse_count_comparison,fifo_nurses_3_fixed_load
fifo,1000,5,4,3,3003,203,202,0.03856107330184603,3.93749012914454,0.26252788976007485,3,,,,nurse_count_comparison,fifo_nurses_3_fixed_load
fifo,1000,5,4,3,3004,217,217,0.09972661311581162,4.56080317490517,0.32268453796943025,2,,,,nurse_count_comparison,fifo_nurses_3_fixed_load
fifo,1000,5,4,3,3005,183,183,0.016427849160110385,4.060903161079567,0.24671299402708682,1,,,,nurse_count_comparison,fifo_nurses_3_fixed_load
fifo,1000,5,4,3,3006,215,214,0.04806059574823564,4.323273426332094,0.30496518191498195,2,,,,nurse_count_comparison,fifo_nurses_3_fixed_load
fifo,1000,5,4,3,3007,222,222,0.13672971798628056,4.254322662070975,0.30470187786226743,3,,,,nurse_count_comparison,fifo_nurses_3_fixed_load
fifo,1000,5,4,3,3008,208,207,0.01667244224280874,3.6160418331219746,0.2483564879706624,2,,,,nurse_count_comparison,fifo_nurses_3_fixed_load
fifo,1000,5,4,3,3009,197,197,0.2579682838643942,4.36863868511369,0.2699340230153704,5,,,,nurse_count_comparison,fifo_nurses_3_fixed_load
fifo,1000,5,4,3,3010,207,206,0.1615724063515548,4.378806568085241,0.28958341243904645,3,,,,nurse_count_comparison,fifo_nurses_3_fixed_load
fifo,1000,5,4,3,3011,187,185,0.04281690158081064,4.00525686065808,0.24435046414309852,2,,,,nurse_count_comparison,fifo_nurses_3_fixed_load
fifo,1000,5,4,3,3012,192,191,0.1148874778852716,4.106031767831898,0.2541028531266018,3,,,,nurse_count_comparison,fifo_nurses_3_fixed_load
fifo,1000,5,4,3,3013,199,198,0.03387960877701777,4.134578608015895,0.2706461339497658,2,,,,nurse_count_comparison,fifo_nurses_3_fixed_load
fifo,1000,5,4,3,3014,221,221,0.1783595491452084,4.050949488980597,0.2852807922345402,3,,,,nurse_count_comparison,fifo_nurses_3_fixed_load
fifo,1000,5,4,3,3015,193,190,0.02962912240561584,3.7501619146164207,0.23563374350668417,2,,,,nurse_count_comparison,fifo_nurses_3_fixed_load
fifo,1000,5,4,3,3016,189,187,0.044234948057613126,3.9149758481139556,0.2412761827701786,3,,,,nurse_count_comparison,fifo_nurses_3_fixed_load
fifo,1000,5,4,3,3017,191,190,0.03495797647132182,3.9709028302970064,0.24927650740896,2,,,,nurse_count_comparison,fifo_nurses_3_fixed_load
fifo,1000,5,4,3,3018,230,230,0.22015109475499653,4.338979756201035,0.3157768640441963,3,,,,nurse_count_comparison,fifo_nurses_3_fixed_load
fifo,1000,5,4,3,3019,190,189,0.09902476698556244,4.063588554030893,0.2497675185838558,2,,,,nurse_count_comparison,fifo_nurses_3_fixed_load
priority,1000,5,4,1,4000,198,191,7.225538315152718,10.92099491342531,0.7058322102700656,9,5.05699716628921,4.115340472009324,9.189069151356499,nurse_count_comparison,priority_nurses_1_fixed_load
priority,1000,5,4,1,4001,181,174,3.1258713975852563,6.64560320303002,0.6124333341473895,7,1.7765085963156497,2.569508037160442,3.816323564321522,nurse_count_comparison,priority_nurses_1_fixed_load
priority,1000,5,4,1,4002,218,209,9.736656908508989,13.554844685012789,0.798001245289294,10,2.6197823841011667,4.070081761582305,14.426200316855072,nurse_count_comparison,priority_nurses_1_fixed_load
